Race Date,Race Name,Product Rank,Product Name,Current Price,Previous Price,Price Change,Team Cumulative Placement,Team Placement Change,Ferrari Driver LEC Pos,Ferrari Driver HAM Pos
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,1,LEGO,$21.99,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,2,PUMA,$42.00,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,3,PUMA,$62.50,$42.00,+$20.50,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,4,PUMA,$50.93,$62.50,-$11.57,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,5,Metal Tin Signs car Plate enzo Ferrari Bar Pub Cafe Home Decor Retro Poster Vintage Wall 6 x 12 inches,$9.99,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,6,1:43 SFR Ferrari F1 Team Race Car (2023) with Helmet- Leclerc #16,$23.99,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,7,Castore,$48.16,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,8,PUMA,$32.82,$50.93,-$18.11,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,9,PUMA,$54.50,$32.82,+$21.68,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,10,Bburago,$18.40,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,11,F1 Poster Wall Art Picture for Youth Room Office Formula 1 Decoration Merchandise Racing Gift (60x40cm),$21.84,N/A,N/A,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,12,PUMA,$53.82,$54.50,-$0.68,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,13,PUMA,$57.00,$53.82,+$3.18,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,14,PUMA,$91.00,$57.00,+$34.00,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,15,LEGO,$17.61,$21.99,-$4.38,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,16,PUMA,$42.00,$91.00,-$49.00,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,17,Castore,$49.00,$48.16,+$0.84,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,18,Castore,$53.69,$49.00,+$4.69,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,19,PUMA,$108.50,$42.00,+$66.50,18,N/A,8,10
Mar 13 - 16,Louis Vuitton Australian GPMelbourne Grand Prix Circuit,20,F1 Racing Parts Structure Cross Section Art Poster Canvas Wall Art Decorative Aesthetics24x36inch(60x90cm) Unframe-style,$38.98,N/A,N/A,18,N/A,8,10
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,1,LEGO,$21.99,$17.61,+$4.38,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,2,PUMA,$42.00,$108.50,-$66.50,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,3,PUMA,$62.50,$42.00,+$20.50,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,4,PUMA,$50.93,$62.50,-$11.57,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,5,Metal Tin Signs car Plate enzo Ferrari Bar Pub Cafe Home Decor Retro Poster Vintage Wall 6 x 12 inches,$9.99,$9.99,$0.00,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,6,1:43 SFR Ferrari F1 Team Race Car (2023) with Helmet- Leclerc #16,$23.99,$23.99,$0.00,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,7,Castore,$48.16,$53.69,-$5.53,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,8,PUMA,$32.82,$50.93,-$18.11,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,9,PUMA,$54.50,$32.82,+$21.68,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,10,Bburago,$18.40,$18.40,$0.00,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,11,F1 Poster Wall Art Picture for Youth Room Office Formula 1 Decoration Merchandise Racing Gift (60x40cm),$21.84,$21.84,$0.00,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,12,PUMA,$53.82,$54.50,-$0.68,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,13,PUMA,$57.00,$53.82,+$3.18,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,14,PUMA,$91.00,$57.00,+$34.00,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,15,LEGO,$17.61,$21.99,-$4.38,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,16,PUMA,$42.00,$91.00,-$49.00,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,17,Castore,$49.00,$48.16,+$0.84,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,18,Castore,$53.69,$49.00,+$4.69,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,19,PUMA,$108.50,$42.00,+$66.50,N/A,N/A,DQ,DQ
Mar 20 - 23,Heineken Chinese GPShanghai International Circuit,20,F1 Racing Parts Structure Cross Section Art Poster Canvas Wall Art Decorative Aesthetics24x36inch(60x90cm) Unframe-style,$38.98,$38.98,$0.00,N/A,N/A,DQ,DQ
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,1,LEGO,$21.99,$17.61,+$4.38,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,2,PUMA,$42.00,$108.50,-$66.50,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,3,PUMA,$62.50,$42.00,+$20.50,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,4,PUMA,$50.93,$62.50,-$11.57,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,5,Metal Tin Signs car Plate enzo Ferrari Bar Pub Cafe Home Decor Retro Poster Vintage Wall 6 x 12 inches,$9.99,$9.99,$0.00,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,6,1:43 SFR Ferrari F1 Team Race Car (2023) with Helmet- Leclerc #16,$23.99,$23.99,$0.00,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,7,Castore,$48.16,$53.69,-$5.53,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,8,PUMA,$32.82,$50.93,-$18.11,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,9,PUMA,$54.50,$32.82,+$21.68,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,10,Bburago,$18.40,$18.40,$0.00,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,11,F1 Poster Wall Art Picture for Youth Room Office Formula 1 Decoration Merchandise Racing Gift (60x40cm),$21.84,$21.84,$0.00,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,12,PUMA,$53.82,$54.50,-$0.68,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,13,PUMA,$57.00,$53.82,+$3.18,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,14,PUMA,$91.00,$57.00,+$34.00,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,15,LEGO,$17.61,$21.99,-$4.38,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,16,PUMA,$42.00,$91.00,-$49.00,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,17,Castore,$49.00,$48.16,+$0.84,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,18,Castore,$53.69,$49.00,+$4.69,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,19,PUMA,$108.50,$42.00,+$66.50,11,-7,4,7
Apr 3 - 6,Lenovo Japanese GPSuzuka International Racing Course,20,F1 Racing Parts Structure Cross Section Art Poster Canvas Wall Art Decorative Aesthetics24x36inch(60x90cm) Unframe-style,$38.98,$38.98,$0.00,11,-7,4,7
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,1,LEGO,$21.99,$17.61,+$4.38,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,2,PUMA,$42.00,$108.50,-$66.50,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,3,PUMA,$62.50,$42.00,+$20.50,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,4,PUMA,$50.93,$62.50,-$11.57,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,5,Metal Tin Signs car Plate enzo Ferrari Bar Pub Cafe Home Decor Retro Poster Vintage Wall 6 x 12 inches,$9.99,$9.99,$0.00,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,6,1:43 SFR Ferrari F1 Team Race Car (2023) with Helmet- Leclerc #16,$23.99,$23.99,$0.00,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,7,Castore,$48.16,$53.69,-$5.53,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,8,PUMA,$32.82,$50.93,-$18.11,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,9,PUMA,$54.50,$32.82,+$21.68,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,10,Bburago,$18.40,$18.40,$0.00,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,11,F1 Poster Wall Art Picture for Youth Room Office Formula 1 Decoration Merchandise Racing Gift (60x40cm),$21.84,$21.84,$0.00,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,12,PUMA,$53.82,$54.50,-$0.68,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,13,PUMA,$57.00,$53.82,+$3.18,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,14,PUMA,$91.00,$57.00,+$34.00,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,15,LEGO,$17.61,$21.99,-$4.38,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,16,PUMA,$42.00,$91.00,-$49.00,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,17,Castore,$49.00,$48.16,+$0.84,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,18,Castore,$53.69,$49.00,+$4.69,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,19,PUMA,$108.50,$42.00,+$66.50,9,-2,4,5
Apr 11 - 13,Gulf Air Bahrain GPBahrain International Circuit,20,F1 Racing Parts Structure Cross Section Art Poster Canvas Wall Art Decorative Aesthetics24x36inch(60x90cm) Unframe-style,$38.98,$38.98,$0.00,9,-2,4,5
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,1,LEGO,$21.99,$17.61,+$4.38,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,2,PUMA,$42.00,$108.50,-$66.50,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,3,PUMA,$62.50,$42.00,+$20.50,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,4,PUMA,$50.93,$62.50,-$11.57,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,5,Metal Tin Signs car Plate enzo Ferrari Bar Pub Cafe Home Decor Retro Poster Vintage Wall 6 x 12 inches,$9.99,$9.99,$0.00,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,6,1:43 SFR Ferrari F1 Team Race Car (2023) with Helmet- Leclerc #16,$23.99,$23.99,$0.00,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,7,Castore,$48.16,$53.69,-$5.53,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,8,PUMA,$32.82,$50.93,-$18.11,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,9,PUMA,$54.50,$32.82,+$21.68,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,10,Bburago,$18.40,$18.40,$0.00,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,11,F1 Poster Wall Art Picture for Youth Room Office Formula 1 Decoration Merchandise Racing Gift (60x40cm),$21.84,$21.84,$0.00,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,12,PUMA,$53.82,$54.50,-$0.68,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,13,PUMA,$57.00,$53.82,+$3.18,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,14,PUMA,$91.00,$57.00,+$34.00,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,15,LEGO,$17.61,$21.99,-$4.38,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,16,PUMA,$42.00,$91.00,-$49.00,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,17,Castore,$49.00,$48.16,+$0.84,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,18,Castore,$53.69,$49.00,+$4.69,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,19,PUMA,$108.50,$42.00,+$66.50,10,+1,3,7
Apr 18 - 20,STC Saudi Arabian GPJeddah Street Circuit,20,F1 Racing Parts Structure Cross Section Art Poster Canvas Wall Art Decorative Aesthetics24x36inch(60x90cm) Unframe-style,$38.98,$38.98,$0.00,10,+1,3,7
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,1,LEGO,$21.99,$17.61,+$4.38,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,2,PUMA,$42.00,$108.50,-$66.50,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,3,PUMA,$62.50,$42.00,+$20.50,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,4,PUMA,$50.93,$62.50,-$11.57,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,5,Metal Tin Signs car Plate enzo Ferrari Bar Pub Cafe Home Decor Retro Poster Vintage Wall 6 x 12 inches,$9.99,$9.99,$0.00,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,6,1:43 SFR Ferrari F1 Team Race Car (2023) with Helmet- Leclerc #16,$23.99,$23.99,$0.00,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,7,Castore,$48.16,$53.69,-$5.53,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,8,PUMA,$32.82,$50.93,-$18.11,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,9,PUMA,$54.50,$32.82,+$21.68,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,10,Bburago,$18.40,$18.40,$0.00,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,11,F1 Poster Wall Art Picture for Youth Room Office Formula 1 Decoration Merchandise Racing Gift (60x40cm),$21.84,$21.84,$0.00,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,12,PUMA,$53.82,$54.50,-$0.68,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,13,PUMA,$57.00,$53.82,+$3.18,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,14,PUMA,$91.00,$57.00,+$34.00,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,15,LEGO,$17.61,$21.99,-$4.38,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,16,PUMA,$42.00,$91.00,-$49.00,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,17,Castore,$49.00,$48.16,+$0.84,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,18,Castore,$53.69,$49.00,+$4.69,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,19,PUMA,$108.50,$42.00,+$66.50,15,+5,7,8
May 2 - 4,Crypto.com Miami GPMiami International Autodrome,20,F1 Racing Parts Structure Cross Section Art Poster Canvas Wall Art Decorative Aesthetics24x36inch(60x90cm) Unframe-style,$38.98,$38.98,$0.00,15,+5,7,8
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,1,LEGO,$21.99,$17.61,+$4.38,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,2,PUMA,$42.00,$108.50,-$66.50,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,3,PUMA,$62.50,$42.00,+$20.50,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,4,PUMA,$50.93,$62.50,-$11.57,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,5,Metal Tin Signs car Plate enzo Ferrari Bar Pub Cafe Home Decor Retro Poster Vintage Wall 6 x 12 inches,$9.99,$9.99,$0.00,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,6,1:43 SFR Ferrari F1 Team Race Car (2023) with Helmet- Leclerc #16,$23.99,$23.99,$0.00,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,7,Castore,$48.16,$53.69,-$5.53,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,8,PUMA,$32.82,$50.93,-$18.11,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,9,PUMA,$54.50,$32.82,+$21.68,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,10,Bburago,$18.40,$18.40,$0.00,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,11,F1 Poster Wall Art Picture for Youth Room Office Formula 1 Decoration Merchandise Racing Gift (60x40cm),$21.84,$21.84,$0.00,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,12,PUMA,$53.82,$54.50,-$0.68,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,13,PUMA,$57.00,$53.82,+$3.18,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,14,PUMA,$91.00,$57.00,+$34.00,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,15,LEGO,$17.61,$21.99,-$4.38,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,16,PUMA,$42.00,$91.00,-$49.00,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,17,Castore,$49.00,$48.16,+$0.84,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,18,Castore,$53.69,$49.00,+$4.69,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,19,PUMA,$108.50,$42.00,+$66.50,10,-5,6,4
May 16 - 18,AWS Made in Italy Emilia Romagna GPAutodromo Enzo e Dino Ferrari,20,F1 Racing Parts Structure Cross Section Art Poster Canvas Wall Art Decorative Aesthetics24x36inch(60x90cm) Unframe-style,$38.98,$38.98,$0.00,10,-5,6,4
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,1,LEGO,$21.99,$17.61,+$4.38,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,2,PUMA,$42.00,$108.50,-$66.50,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,3,PUMA,$62.50,$42.00,+$20.50,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,4,PUMA,$50.93,$62.50,-$11.57,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,5,Metal Tin Signs car Plate enzo Ferrari Bar Pub Cafe Home Decor Retro Poster Vintage Wall 6 x 12 inches,$9.99,$9.99,$0.00,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,6,1:43 SFR Ferrari F1 Team Race Car (2023) with Helmet- Leclerc #16,$23.99,$23.99,$0.00,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,7,Castore,$48.16,$53.69,-$5.53,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,8,PUMA,$32.82,$50.93,-$18.11,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,9,PUMA,$54.50,$32.82,+$21.68,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,10,Bburago,$18.40,$18.40,$0.00,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,11,F1 Poster Wall Art Picture for Youth Room Office Formula 1 Decoration Merchandise Racing Gift (60x40cm),$21.84,$21.84,$0.00,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,12,PUMA,$53.82,$54.50,-$0.68,7,-3,2,5
May 23 - 25,Tag Heuer Monaco GPCircuit de Monaco,13,PUMA,$57.00,$53.82,+$3.18,7,-3,2,5
